"user_id","total_revenue","total_orders","months_active","monthly_value","lifetime_value"
55,"290.65","1","1","290.65","290.65"
130,"667.80","3","11","60.71","667.80"
148,"631.66","3","8","78.96","631.66"
270,"376.95","3","9","41.88","376.95"
435,"1148.99","3","10","114.90","1148.99"
384,"410.97","1","1","410.97","410.97"
351,"182.45","1","1","182.45","182.45"
184,"287.59","1","1","287.59","287.59"
87,"1224.93","3","9","136.10","1224.93"
116,"1027.34","3","7","146.76","1027.34"
477,"403.89","1","1","403.89","403.89"
273,"1240.09","4","5","248.02","1240.09"
51,"428.93","2","6","71.49","428.93"
272,"529.82","2","4","132.46","529.82"
70,"700.77","4","11","63.71","700.77"
190,"1076.92","4","11","97.90","1076.92"
350,"583.01","2","4","145.75","583.01"
426,"582.08","3","9","64.68","582.08"
278,"1293.64","4","11","117.60","1293.64"
431,"75.33","1","1","75.33","75.33"
433,"30.36","1","1","30.36","30.36"
364,"466.42","1","1","466.42","466.42"
462,"496.39","1","1","496.39","496.39"
491,"1322.84","4","10","132.28","1322.84"
176,"40.22","1","1","40.22","40.22"
299,"137.75","1","1","137.75","137.75"
169,"78.27","1","1","78.27","78.27"
92,"521.41","2","8","65.18","521.41"
345,"295.10","2","5","59.02","295.10"
309,"131.85","2","7","18.84","131.85"
180,"212.49","2","5","42.50","212.49"
292,"921.71","3","6","153.62","921.71"
437,"99.60","1","1","99.60","99.60"
236,"1611.31","5","9","179.03","1611.31"
271,"514.35","2","5","102.87","514.35"
22,"335.12","2","4","83.78","335.12"
263,"410.42","1","1","410.42","410.42"
156,"227.87","1","1","227.87","227.87"
197,"589.05","2","1","589.05","589.05"
135,"575.63","2","4","143.91","575.63"
417,"369.62","2","2","184.81","369.62"
475,"221.79","1","1","221.79","221.79"
493,"388.85","1","1","388.85","388.85"
482,"588.99","4","7","84.14","588.99"
227,"264.90","1","1","264.90","264.90"
282,"317.12","1","1","317.12","317.12"
500,"319.20","2","3","106.40","319.20"
390,"777.49","3","12","64.79","777.49"
478,"721.82","2","7","103.12","721.82"
173,"694.62","2","3","231.54","694.62"
73,"231.13","1","1","231.13","231.13"
269,"855.54","3","2","427.77","855.54"
261,"296.62","1","1","296.62","296.62"
103,"627.34","2","7","89.62","627.34"
280,"429.98","1","1","429.98","429.98"
42,"516.95","2","2","258.48","516.95"
189,"1130.85","4","8","141.36","1130.85"
161,"396.45","2","5","79.29","396.45"
117,"1369.49","4","7","195.64","1369.49"
88,"840.66","3","7","120.09","840.66"
420,"277.38","1","1","277.38","277.38"
188,"564.47","2","8","70.56","564.47"
113,"559.98","2","1","559.98","559.98"
461,"784.75","2","7","112.11","784.75"
43,"217.51","1","1","217.51","217.51"
328,"616.39","3","2","308.20","616.39"
196,"346.85","2","7","49.55","346.85"
291,"125.93","2","6","20.99","125.93"
15,"724.08","2","1","724.08","724.08"
440,"51.40","2","5","10.28","51.40"
226,"645.01","2","11","58.64","645.01"
210,"642.06","3","2","321.03","642.06"
48,"492.10","2","7","70.30","492.10"
447,"183.92","1","1","183.92","183.92"
349,"362.68","2","1","362.68","362.68"
187,"796.22","2","3","265.41","796.22"
298,"608.41","2","1","608.41","608.41"
81,"186.40","1","1","186.40","186.40"
19,"362.75","2","3","120.92","362.75"
160,"36.80","1","1","36.80","36.80"
244,"578.87","3","6","96.48","578.87"
468,"260.15","1","1","260.15","260.15"
357,"774.12","2","4","193.53","774.12"
331,"1193.02","3","7","170.43","1193.02"
251,"915.44","4","10","91.54","915.44"
104,"499.93","1","1","499.93","499.93"
266,"838.84","2","1","838.84","838.84"
171,"679.50","2","3","226.50","679.50"
315,"762.18","3","7","108.88","762.18"
307,"126.37","1","1","126.37","126.37"
366,"628.99","3","6","104.83","628.99"
427,"1566.86","6","11","142.44","1566.86"
347,"1258.40","4","4","314.60","1258.40"
283,"586.91","2","1","586.91","586.91"
179,"1199.61","6","10","119.96","1199.61"
29,"1001.78","3","6","166.96","1001.78"
305,"613.74","2","3","204.58","613.74"
54,"374.34","3","5","74.87","374.34"
4,"949.10","2","1","949.10","949.10"
181,"481.71","2","3","160.57","481.71"
361,"471.03","1","1","471.03","471.03"
466,"182.34","1","1","182.34","182.34"
201,"216.54","1","1","216.54","216.54"
303,"293.33","1","1","293.33","293.33"
10,"519.90","2","8","64.99","519.90"
105,"499.98","2","1","499.98","499.98"
35,"1485.98","6","5","297.20","1485.98"
402,"741.19","3","4","185.30","741.19"
472,"502.82","2","7","71.83","502.82"
444,"394.35","4","5","78.87","394.35"
6,"720.06","3","10","72.01","720.06"
445,"354.57","1","1","354.57","354.57"
446,"368.71","2","4","92.18","368.71"
233,"342.65","1","1","342.65","342.65"
220,"1276.05","5","12","106.34","1276.05"
86,"314.54","1","1","314.54","314.54"
400,"354.18","1","1","354.18","354.18"
93,"1053.19","4","8","131.65","1053.19"
89,"1048.59","3","11","95.33","1048.59"
219,"461.11","1","1","461.11","461.11"
373,"407.17","2","1","407.17","407.17"
241,"389.27","2","8","48.66","389.27"
175,"134.34","2","5","26.87","134.34"
363,"671.29","2","4","167.82","671.29"
343,"1063.54","5","11","96.69","1063.54"
31,"35.83","1","1","35.83","35.83"
467,"2046.42","6","8","255.80","2046.42"
285,"67.82","1","1","67.82","67.82"
327,"223.25","3","6","37.21","223.25"
50,"206.32","3","9","22.92","206.32"
253,"893.23","5","3","297.74","893.23"
66,"647.62","2","1","647.62","647.62"
109,"562.07","3","5","112.41","562.07"
340,"573.20","3","7","81.89","573.20"
497,"259.48","1","1","259.48","259.48"
13,"370.16","1","1","370.16","370.16"
155,"677.23","3","5","135.45","677.23"
391,"227.75","1","1","227.75","227.75"
416,"581.46","2","1","581.46","581.46"
195,"633.69","2","2","316.85","633.69"
487,"1055.13","5","8","131.89","1055.13"
458,"905.94","2","6","150.99","905.94"
414,"253.06","1","1","253.06","253.06"
199,"232.10","1","1","232.10","232.10"
368,"367.31","2","6","61.22","367.31"
372,"898.95","3","6","149.83","898.95"
246,"1365.30","5","4","341.33","1365.30"
75,"1004.19","4","4","251.05","1004.19"
128,"304.53","1","1","304.53","304.53"
369,"530.11","2","2","265.06","530.11"
441,"554.48","2","5","110.90","554.48"
339,"137.60","1","1","137.60","137.60"
166,"251.81","1","1","251.81","251.81"
344,"22.09","1","1","22.09","22.09"
142,"185.79","1","1","185.79","185.79"
335,"255.14","1","1","255.14","255.14"
410,"441.05","2","10","44.11","441.05"
152,"412.22","3","7","58.89","412.22"
428,"436.02","3","6","72.67","436.02"
355,"636.74","2","7","90.96","636.74"
383,"1439.14","5","9","159.90","1439.14"
230,"619.20","2","5","123.84","619.20"
301,"390.64","3","9","43.40","390.64"
7,"357.43","5","8","44.68","357.43"
222,"86.70","2","1","86.70","86.70"
381,"908.60","4","11","82.60","908.60"
38,"150.75","2","8","18.84","150.75"
359,"890.32","3","8","111.29","890.32"
193,"126.03","1","1","126.03","126.03"
254,"199.48","1","1","199.48","199.48"
164,"384.29","1","1","384.29","384.29"
377,"1369.73","5","10","136.97","1369.73"
78,"17.77","1","1","17.77","17.77"
453,"790.00","2","2","395.00","790.00"
217,"53.89","1","1","53.89","53.89"
186,"484.29","2","6","80.72","484.29"
432,"798.65","3","5","159.73","798.65"
47,"963.30","3","11","87.57","963.30"
177,"213.04","2","3","71.01","213.04"
182,"373.59","1","1","373.59","373.59"
319,"307.33","2","3","102.44","307.33"
1,"1767.94","6","9","196.44","1767.94"
76,"279.17","2","6","46.53","279.17"
106,"161.74","1","1","161.74","161.74"
18,"599.76","3","8","74.97","599.76"
110,"668.48","2","2","334.24","668.48"
178,"888.69","2","5","177.74","888.69"
27,"101.89","1","1","101.89","101.89"
129,"320.21","1","1","320.21","320.21"
143,"431.37","1","1","431.37","431.37"
203,"468.36","1","1","468.36","468.36"
496,"1323.20","5","11","120.29","1323.20"
58,"158.17","1","1","158.17","158.17"
8,"848.19","3","3","282.73","848.19"
485,"793.09","3","5","158.62","793.09"
294,"874.06","2","8","109.26","874.06"
346,"266.86","1","1","266.86","266.86"
455,"1359.34","4","7","194.19","1359.34"
370,"11.81","1","1","11.81","11.81"
71,"432.48","1","1","432.48","432.48"
267,"452.41","1","1","452.41","452.41"
68,"587.74","2","1","587.74","587.74"
229,"430.52","1","1","430.52","430.52"
481,"293.81","2","2","146.91","293.81"
304,"90.14","1","1","90.14","90.14"
448,"356.86","2","5","71.37","356.86"
80,"743.45","2","5","148.69","743.45"
146,"1200.12","4","2","600.06","1200.12"
52,"54.37","1","1","54.37","54.37"
396,"524.55","2","9","58.28","524.55"
382,"816.39","2","3","272.13","816.39"
438,"534.56","2","5","106.91","534.56"
162,"435.42","1","1","435.42","435.42"
258,"742.07","2","1","742.07","742.07"
341,"400.46","1","1","400.46","400.46"
378,"600.11","2","10","60.01","600.11"
132,"458.04","3","9","50.89","458.04"
483,"246.74","1","1","246.74","246.74"
322,"702.85","2","2","351.43","702.85"
450,"313.22","2","3","104.41","313.22"
405,"422.48","2","1","422.48","422.48"
389,"17.50","1","1","17.50","17.50"
170,"24.29","1","1","24.29","24.29"
192,"408.80","2","5","81.76","408.80"
276,"534.86","3","8","66.86","534.86"
330,"915.00","3","6","152.50","915.00"
237,"316.90","2","6","52.82","316.90"
101,"476.52","2","3","158.84","476.52"
473,"905.15","3","11","82.29","905.15"
69,"662.75","2","2","331.38","662.75"
451,"264.97","2","5","52.99","264.97"
379,"967.12","3","5","193.42","967.12"
337,"571.76","2","2","285.88","571.76"
320,"725.15","3","7","103.59","725.15"
348,"1241.83","4","7","177.40","1241.83"
115,"699.79","2","6","116.63","699.79"
375,"471.07","2","1","471.07","471.07"
114,"156.78","1","1","156.78","156.78"
60,"103.92","1","1","103.92","103.92"
97,"492.92","2","4","123.23","492.92"
415,"514.92","2","3","171.64","514.92"
238,"653.82","2","4","163.46","653.82"
112,"757.11","2","4","189.28","757.11"
408,"920.84","3","5","184.17","920.84"
59,"290.12","1","1","290.12","290.12"
289,"215.28","1","1","215.28","215.28"
268,"628.40","2","3","209.47","628.40"
65,"179.18","1","1","179.18","179.18"
127,"159.89","1","1","159.89","159.89"
98,"436.75","2","8","54.59","436.75"
329,"373.28","2","8","46.66","373.28"
200,"219.18","2","4","54.80","219.18"
44,"373.73","1","1","373.73","373.73"
401,"624.77","2","5","124.95","624.77"
490,"504.57","2","5","100.91","504.57"
235,"177.83","2","2","88.92","177.83"
82,"146.27","1","1","146.27","146.27"
119,"363.16","1","1","363.16","363.16"
306,"239.53","3","10","23.95","239.53"
286,"324.10","1","1","324.10","324.10"
376,"830.50","2","1","830.50","830.50"
153,"815.79","2","7","116.54","815.79"
147,"751.39","2","2","375.70","751.39"
279,"440.52","3","8","55.07","440.52"
480,"695.60","2","6","115.93","695.60"
214,"1303.21","3","8","162.90","1303.21"
338,"581.47","2","7","83.07","581.47"
9,"751.36","3","7","107.34","751.36"
419,"430.88","1","1","430.88","430.88"
358,"984.91","3","4","246.23","984.91"
412,"173.61","1","1","173.61","173.61"
79,"616.99","4","9","68.55","616.99"
26,"467.05","3","6","77.84","467.05"
85,"1310.31","6","7","187.19","1310.31"
72,"63.94","1","1","63.94","63.94"
95,"886.76","4","2","443.38","886.76"
232,"387.24","3","7","55.32","387.24"
77,"430.37","2","9","47.82","430.37"
259,"262.10","2","4","65.53","262.10"
302,"99.88","1","1","99.88","99.88"
172,"669.63","3","11","60.88","669.63"
409,"832.30","5","10","83.23","832.30"
30,"1077.98","4","11","98.00","1077.98"
21,"357.28","3","6","59.55","357.28"
3,"209.15","1","1","209.15","209.15"
17,"156.00","1","1","156.00","156.00"
324,"539.68","2","10","53.97","539.68"
310,"231.07","2","5","46.21","231.07"
37,"364.21","2","1","364.21","364.21"
28,"536.04","4","9","59.56","536.04"
398,"228.61","1","1","228.61","228.61"
249,"302.59","3","3","100.86","302.59"
353,"13.33","1","1","13.33","13.33"
255,"221.69","1","1","221.69","221.69"
489,"845.85","4","9","93.98","845.85"
388,"168.49","1","1","168.49","168.49"
165,"548.65","2","1","548.65","548.65"
56,"276.36","2","2","138.18","276.36"
151,"871.99","4","9","96.89","871.99"
209,"1035.28","3","4","258.82","1035.28"
296,"548.24","2","4","137.06","548.24"
74,"151.68","1","1","151.68","151.68"
34,"678.17","2","7","96.88","678.17"
225,"860.37","2","7","122.91","860.37"
138,"437.08","1","1","437.08","437.08"
418,"388.18","2","2","194.09","388.18"
245,"20.63","1","1","20.63","20.63"
83,"366.49","1","1","366.49","366.49"
67,"637.82","2","4","159.46","637.82"
407,"320.16","2","8","40.02","320.16"
333,"527.38","3","9","58.60","527.38"
325,"274.28","2","7","39.18","274.28"
90,"1042.82","4","3","347.61","1042.82"
174,"496.85","1","1","496.85","496.85"
216,"720.04","3","8","90.01","720.04"
45,"995.99","3","10","99.60","995.99"
387,"790.46","3","8","98.81","790.46"
443,"534.82","3","7","76.40","534.82"
295,"63.65","1","1","63.65","63.65"
484,"402.26","1","1","402.26","402.26"
134,"2389.75","7","12","199.15","2389.75"
274,"256.29","1","1","256.29","256.29"
334,"1627.47","6","11","147.95","1627.47"
144,"734.77","3","4","183.69","734.77"
39,"878.59","3","3","292.86","878.59"
168,"1074.03","3","9","119.34","1074.03"
223,"467.92","1","1","467.92","467.92"
352,"366.46","3","10","36.65","366.46"
36,"352.70","1","1","352.70","352.70"
393,"694.87","2","8","86.86","694.87"
287,"1395.71","3","8","174.46","1395.71"
221,"141.74","1","1","141.74","141.74"
464,"175.45","2","6","29.24","175.45"
102,"461.36","1","1","461.36","461.36"
430,"159.02","1","1","159.02","159.02"
312,"66.37","2","5","13.27","66.37"
167,"339.11","1","1","339.11","339.11"
498,"542.92","3","4","135.73","542.92"
158,"602.78","2","4","150.70","602.78"
494,"474.18","1","1","474.18","474.18"
118,"1024.98","4","9","113.89","1024.98"
499,"25.44","1","1","25.44","25.44"
284,"744.84","2","5","148.97","744.84"
265,"306.82","1","1","306.82","306.82"
317,"36.12","2","3","12.04","36.12"
342,"339.29","1","1","339.29","339.29"
111,"1094.76","5","6","182.46","1094.76"
16,"1045.78","4","9","116.20","1045.78"
488,"382.73","2","4","95.68","382.73"
123,"508.46","2","1","508.46","508.46"
126,"890.01","4","12","74.17","890.01"
385,"254.56","1","1","254.56","254.56"
463,"555.45","2","3","185.15","555.45"
99,"733.35","4","5","146.67","733.35"
371,"43.96","1","1","43.96","43.96"
367,"1132.39","4","9","125.82","1132.39"
492,"148.08","1","1","148.08","148.08"
374,"604.55","3","5","120.91","604.55"
41,"265.64","1","1","265.64","265.64"
206,"294.25","2","5","58.85","294.25"
439,"1380.71","7","10","138.07","1380.71"
46,"547.45","2","1","547.45","547.45"
224,"134.59","1","1","134.59","134.59"
157,"820.60","3","6","136.77","820.60"
53,"206.56","1","1","206.56","206.56"
32,"363.89","1","1","363.89","363.89"
318,"295.88","1","1","295.88","295.88"
336,"790.58","2","2","395.29","790.58"
413,"149.19","1","1","149.19","149.19"
275,"369.83","1","1","369.83","369.83"
247,"1040.53","3","4","260.13","1040.53"
260,"1390.98","5","10","139.10","1390.98"
308,"105.89","2","9","11.77","105.89"
100,"229.11","2","1","229.11","229.11"
183,"407.99","2","3","136.00","407.99"
423,"469.56","2","5","93.91","469.56"
136,"156.97","1","1","156.97","156.97"
313,"929.75","3","8","116.22","929.75"
150,"295.44","1","1","295.44","295.44"
442,"734.07","3","10","73.41","734.07"
140,"355.69","1","1","355.69","355.69"
12,"511.78","2","2","255.89","511.78"
479,"177.42","1","1","177.42","177.42"
137,"671.82","3","3","223.94","671.82"
421,"554.31","2","7","79.19","554.31"
208,"883.17","2","1","883.17","883.17"
24,"183.54","1","1","183.54","183.54"
392,"615.65","2","4","153.91","615.65"
191,"946.14","4","3","315.38","946.14"
429,"702.07","4","9","78.01","702.07"
425,"703.90","3","2","351.95","703.90"
25,"1375.05","5","5","275.01","1375.05"
94,"589.04","2","2","294.52","589.04"
141,"261.24","2","4","65.31","261.24"
495,"442.58","2","1","442.58","442.58"
122,"1140.20","5","7","162.89","1140.20"
218,"434.45","1","1","434.45","434.45"
154,"481.15","3","7","68.74","481.15"
434,"676.38","2","1","676.38","676.38"
211,"209.89","1","1","209.89","209.89"
316,"389.54","1","1","389.54","389.54"
403,"1076.78","3","6","179.46","1076.78"
474,"351.50","2","10","35.15","351.50"
256,"512.41","2","1","512.41","512.41"
332,"119.27","1","1","119.27","119.27"
33,"290.36","1","1","290.36","290.36"
422,"653.57","3","8","81.70","653.57"
465,"136.89","1","1","136.89","136.89"
449,"228.92","1","1","228.92","228.92"
264,"150.71","1","1","150.71","150.71"
185,"371.04","1","1","371.04","371.04"
64,"548.27","2","2","274.14","548.27"
380,"87.99","1","1","87.99","87.99"
215,"1302.81","3","6","217.14","1302.81"
